id;ordre;denomination;responsable;adresse;telephone;fax;email;sigle;urlsiteweb;approbation;logo;logo_content_type;type_id
1;4569;Coordinator plug-and-play Integrated;optical Portugal;Berkshire Metal Awesome Cotton Hat;(648) 581-1892 x72625;back up system;Alfonso_Beahan@hotmail.com;implement;Legacy;Consultant deposit bypass;../fake-data/blob/hipster.png;image/png;1
2;56826;Wooden viral Generic Soft Table;tan haptic;Licensed Soft Tuna District neural;1-103-482-7887;Bedfordshire;Julio30@gmail.com;definition;Avon;transmitter;../fake-data/blob/hipster.png;image/png;2
3;35946;hacking;invoice Producer;Developer;1-258-224-9402;Summit programming feed;Haylie22@hotmail.com;Kids;International Central;Borders Island Way;../fake-data/blob/hipster.png;image/png;3
4;4619;Usability;program;Avon;404.763.8488;De-engineered;Jamaal_Lesch@hotmail.com;mint green seize;Optimized;Corporate quantify;../fake-data/blob/hipster.png;image/png;4
5;62171;Rubber Dynamic pixel;Fantastic;Personal Loan Account South Dakota Ergonomic;882-213-9314;payment methodologies payment;Kayden.Nienow@gmail.com;calculate aggregate primary;Personal Loan Account Michigan Interactions;hacking card;../fake-data/blob/hipster.png;image/png;5
6;24448;executive ROI;Rubber tan backing up;reinvent Ball Dynamic;181-774-0789 x849;Soap Orchestrator;Vidal_Wisoky@hotmail.com;e-tailers;leverage Architect;brand e-tailers;../fake-data/blob/hipster.png;image/png;6
7;79985;SSL deposit turquoise;invoice Concrete;Senegal;596-165-7619 x65489;haptic e-enable;Tyrique_Kertzmann27@yahoo.com;Rustic Granite Car;panel;Executive;../fake-data/blob/hipster.png;image/png;7
8;6008;transform Handcrafted;Avon;payment holistic Bedfordshire;1-111-767-6809;Malaysia tan;Stephania76@yahoo.com;virtual;sticky;Cote d'Ivoire Legacy object-oriented;../fake-data/blob/hipster.png;image/png;8
9;83762;Synergized Identity;scale Enterprise-wide;multimedia Parks Ball;391.815.4920 x3438;programming;Camryn17@hotmail.com;Unbranded Steel Salad orchid;user-centric;IB;../fake-data/blob/hipster.png;image/png;9
10;80338;hack program;Central;generate;(166) 225-8404 x6501;Reactive Bedfordshire;Eldridge.Hamill9@gmail.com;Borders red synergistic;multimedia;JSON Grocery;../fake-data/blob/hipster.png;image/png;10
